Date,Category,CPI,YoY_Change,RollingAvg_3,RollingAvg_6
2024-10-01,Energy,271.51,-4.117329227422495,274.43666666666667,279.12600000000003
2024-11-01,Energy,265.173,-1.5024998328492245,269.6936666666666,276.3231666666667
2024-12-01,Energy,260.235,-0.8167605515706278,265.63933333333335,271.92816666666664
2025-01-01,Energy,270.217,3.59134978474136,265.2083333333333,269.8225
2025-02-01,Energy,271.088,2.0101901816020007,267.18,268.4368333333333
2025-03-01,Energy,270.04,-2.3935343487721306,270.4483333333333,268.04383333333334
2025-04-01,Energy,274.139,-2.039335920470542,271.7556666666667,268.482
2025-05-01,Energy,274.317,-2.721018475832482,272.83200000000005,270.00600000000003
2025-06-01,Energy,280.781,-2.032065037246389,276.4123333333334,273.4303333333333
2021-01-01,Shelter,344.056,,,
2021-02-01,Shelter,344.499,,,
2021-03-01,Shelter,344.838,,344.46433333333334,
2021-04-01,Shelter,345.045,,344.79400000000004,
2021-05-01,Shelter,343.512,,344.465,
2021-06-01,Shelter,344.241,,344.266,344.36516666666665
2021-07-01,Shelter,344.851,,344.20133333333325,344.49766666666665
2021-08-01,Shelter,345.876,,344.98933333333326,344.7271666666666
2021-09-01,Shelter,348.438,,346.3883333333333,345.32716666666664
2021-10-01,Shelter,348.931,,347.7483333333333,345.97483333333327
2021-11-01,Shelter,350.199,,349.1893333333333,347.08933333333334
2021-12-01,Shelter,350.752,,349.96066666666667,348.1745
2022-01-01,Shelter,351.198,2.0758248657195333,350.7163333333333,349.2323333333333
2022-02-01,Shelter,352.173,2.2275826635200557,351.37433333333337,350.2818333333334
2022-03-01,Shelter,354.604,2.8320544719549368,352.6583333333333,351.3095
2022-04-01,Shelter,355.432,3.0103319856830346,354.0696666666666,352.39300000000003
2022-05-01,Shelter,357.027,3.93436037169006,355.68766666666664,353.53099999999995
2022-06-01,Shelter,358.18,4.049198090872386,356.8796666666667,354.769
2022-07-01,Shelter,359.902,4.364493650881096,358.36966666666666,356.2196666666667
2022-08-01,Shelter,359.443,3.922504018781292,359.17499999999995,357.4313333333334
2022-09-01,Shelter,361.367,3.7105596978515676,360.2373333333333,358.55850000000004
2022-10-01,Shelter,361.814,3.6921339749119486,360.87466666666666,359.6221666666667
2022-11-01,Shelter,365.269,4.303267570724079,362.81666666666666,360.99583333333334
2022-12-01,Shelter,366.83,4.583865523218678,364.6376666666667,362.4375
2023-01-01,Shelter,367.096,4.526791154847132,366.3983333333333,363.6365
2023-02-01,Shelter,370.347,5.160531897675291,368.09099999999995,365.4538333333333
2023-03-01,Shelter,373.375,5.293510507495691,370.2726666666667,367.4551666666666
2023-04-01,Shelter,373.835,5.177642980935859,372.519,369.45866666666666
